open_time,open,high,low,close,volume,spread_points,is_closed
2026-04-29T08:00:00+00:00,1.07000,1.07050,1.06980,1.07010,1200,12,true
2026-04-29T08:15:00+00:00,1.07010,1.07060,1.06990,1.07020,1180,12,true
2026-04-29T08:30:00+00:00,1.07020,1.07080,1.07000,1.07050,1300,12,true
2026-04-29T08:45:00+00:00,1.07050,1.07090,1.07010,1.07030,1100,13,true
2026-04-29T09:00:00+00:00,1.07030,1.07070,1.06990,1.07000,1250,12,true
2026-04-29T09:15:00+00:00,1.07000,1.07040,1.06970,1.07020,1220,12,true
2026-04-29T09:30:00+00:00,1.07020,1.07090,1.07010,1.07080,1400,12,true
2026-04-29T09:45:00+00:00,1.07080,1.07120,1.07060,1.07100,1500,12,true
2026-04-29T10:00:00+00:00,1.07100,1.07150,1.07080,1.07140,1600,12,true
2026-04-29T10:15:00+00:00,1.07140,1.07180,1.07120,1.07160,1550,12,true
2026-04-29T10:30:00+00:00,1.07160,1.07200,1.07140,1.07190,1650,12,true
2026-04-29T10:45:00+00:00,1.07190,1.07220,1.07150,1.07210,1700,12,true
2026-04-29T11:00:00+00:00,1.07210,1.07260,1.07200,1.07240,1750,12,true
2026-04-29T11:15:00+00:00,1.07240,1.07290,1.07220,1.07270,1700,12,true
2026-04-29T11:30:00+00:00,1.07270,1.07310,1.07250,1.07290,1800,12,true
2026-04-29T11:45:00+00:00,1.07290,1.07330,1.07270,1.07320,1850,12,true
2026-04-29T12:00:00+00:00,1.07320,1.07360,1.07300,1.07350,1900,12,true
2026-04-29T12:15:00+00:00,1.07350,1.07390,1.07330,1.07370,1950,12,true
2026-04-29T12:30:00+00:00,1.07370,1.07410,1.07350,1.07400,1900,12,true
2026-04-29T12:45:00+00:00,1.07400,1.07440,1.07380,1.07420,1850,12,true
2026-04-29T13:00:00+00:00,1.07420,1.07460,1.07400,1.07450,1800,12,true
2026-04-29T13:15:00+00:00,1.07450,1.07490,1.07430,1.07470,1750,12,true
2026-04-29T13:30:00+00:00,1.07470,1.07510,1.07450,1.07490,1700,13,true
